question_id,db_id,gold_tables,predicted_tables
0,california_schools,['frpm'],"['frpm', 'satscores', 'schools']"
1,california_schools,['frpm'],"['frpm', 'satscores', 'schools']"
2,california_schools,"['frpm', 'schools']","['frpm', 'satscores', 'schools']"
3,california_schools,"['frpm', 'schools']","['frpm', 'satscores', 'schools']"
4,california_schools,"['frpm', 'schools']","['frpm', 'satscores', 'schools']"
5,california_schools,"['satscores', 'schools']","['frpm', 'satscores', 'schools']"
6,california_schools,"['satscores', 'schools']","['frpm', 'satscores', 'schools']"
7,california_schools,"['satscores', 'schools']","['frpm', 'satscores', 'schools']"
8,california_schools,"['frpm', 'satscores']","['frpm', 'satscores', 'schools']"
9,california_schools,"['frpm', 'satscores']","['frpm', 'satscores', 'schools']"
89,financial,"['account', 'district']","['account', 'card', 'client', 'disp', 'district', 'loan', 'order', 'trans']"
90,financial,"['account', 'district', 'loan']","['account', 'client', 'disp', 'district', 'loan']"
91,financial,['district'],"['account', 'district']"
92,financial,"['client', 'district']","['client', 'district']"
93,financial,"['client', 'district']","['account', 'client', 'disp', 'district']"
94,financial,"['account', 'client', 'district']","['account', 'client', 'disp', 'district']"
95,financial,"['account', 'client', 'district']","['account', 'client', 'disp', 'district', 'trans']"
96,financial,"['account', 'disp']","['account', 'client', 'disp']"
97,financial,"['account', 'disp']","['account', 'client', 'disp', 'trans']"
98,financial,"['account', 'loan']","['account', 'loan', 'trans']"
195,toxicology,['bond'],"['atom', 'bond', 'connected', 'molecule']"
196,toxicology,"['atom', 'molecule']","['atom', 'bond', 'connected', 'molecule']"
197,toxicology,"['atom', 'bond']","['atom', 'bond', 'connected', 'molecule']"
198,toxicology,"['atom', 'bond', 'molecule']","['atom', 'bond', 'connected', 'molecule']"
199,toxicology,"['atom', 'molecule']","['atom', 'bond', 'connected', 'molecule']"
200,toxicology,"['bond', 'molecule']","['atom', 'bond', 'connected', 'molecule']"
201,toxicology,"['atom', 'bond']","['atom', 'bond', 'connected', 'molecule']"
202,toxicology,['bond'],"['atom', 'bond', 'connected', 'molecule']"
203,toxicology,['atom'],"['atom', 'bond', 'connected', 'molecule']"
204,toxicology,['molecule'],"['atom', 'bond', 'connected', 'molecule']"
340,card_games,['cards'],"['cards', 'set_transactions', 'sets']"
341,card_games,['cards'],"['cards', 'foreign_data', 'legalities', 'ruling', 'set_transactions', 'sets']"
342,card_games,['cards'],"['cards', 'foreign_data', 'legalities', 'ruling', 'set_transactions', 'sets']"
343,card_games,['cards'],"['cards', 'foreign_data', 'legalities', 'ruling', 'set_transactions', 'sets']"
344,card_games,"['cards', 'legalities']","['cards', 'foreign_data', 'legalities', 'ruling', 'set_transactions', 'sets']"
345,card_games,"['cards', 'legalities']","['cards', 'legalities']"
346,card_games,"['cards', 'legalities']","['cards', 'legalities']"
347,card_games,"['cards', 'rulings']","['cards', 'foreign_data', 'legalities', 'ruling', 'set_transactions', 'sets']"
348,card_games,"['cards', 'rulings']","['cards', 'foreign_data', 'legalities', 'ruling', 'set_transactions', 'sets']"
349,card_games,"['cards', 'rulings']","['cards', 'foreign_data', 'legalities', 'ruling', 'set_transactions', 'sets']"
531,codebase_community,['users'],"['badges', 'comments', 'posthistory', 'posts', 'users', 'votes']"
532,codebase_community,['users'],"['badges', 'comments', 'posthistory', 'postlinks', 'posts', 'tags', 'users', 'votes']"
533,codebase_community,['users'],"['comments', 'posthistory', 'posts', 'users', 'votes']"
534,codebase_community,['users'],"['comments', 'posthistory', 'posts', 'users']"
535,codebase_community,['users'],"['users', 'votes']"
536,codebase_community,['users'],"['posthistory', 'posts', 'users']"
537,codebase_community,"['posts', 'users']","['comments', 'posthistory', 'postlinks', 'posts', 'users', 'votes']"
538,codebase_community,"['posts', 'users']","['comments', 'posthistory', 'posts', 'users']"
539,codebase_community,"['posts', 'users']","['badges', 'comments', 'posthistory', 'postlinks', 'posts', 'tags', 'users', 'votes']"
540,codebase_community,"['posts', 'users']","['posts', 'users']"
717,superhero,"['hero_power', 'superhero', 'superpower']","['alignment', 'attribute', 'colour', 'gender', 'hero_attribute', 'hero_power', 'publisher', 'race', 'superhero', 'superpower']"
718,superhero,"['hero_power', 'superpower']","['alignment', 'attribute', 'colour', 'gender', 'hero_attribute', 'hero_power', 'publisher', 'race', 'superhero', 'superpower']"
719,superhero,"['hero_power', 'superhero', 'superpower']","['hero_power', 'superhero', 'superpower']"
720,superhero,"['hero_power', 'superhero']","['hero_power', 'superhero', 'superpower']"
721,superhero,"['colour', 'superhero']","['colour', 'superhero']"
722,superhero,"['colour', 'superhero']","['colour', 'superhero']"
723,superhero,"['colour', 'hero_power', 'superhero', 'superpower']","['colour', 'hero_power', 'superhero', 'superpower']"
724,superhero,"['colour', 'superhero']","['colour', 'superhero']"
725,superhero,"['publisher', 'superhero']","['publisher', 'superhero']"
726,superhero,"['publisher', 'superhero']","['alignment', 'attribute', 'colour', 'gender', 'hero_attribute', 'hero_power', 'publisher', 'race', 'superhero', 'superpower']"
846,formula_1,"['drivers', 'qualifying']","['drivers', 'qualifying', 'races', 'results', 'status']"
847,formula_1,"['drivers', 'qualifying']","['drivers', 'laptimes', 'races', 'results']"
848,formula_1,"['circuits', 'races']","['circuits', 'races', 'seasons']"
849,formula_1,"['circuits', 'races']","['circuits', 'races']"
850,formula_1,"['circuits', 'races']","['circuits', 'races']"
851,formula_1,"['constructors', 'constructorstandings']","['circuits', 'constructorresults', 'constructors', 'races']"
852,formula_1,"['circuits', 'races']","['circuits', 'races']"
853,formula_1,"['circuits', 'races']","['circuits', 'races']"
854,formula_1,"['circuits', 'races']","['circuits', 'races']"
855,formula_1,"['circuits', 'races']","['circuits', 'constructorresults', 'constructorstandings', 'driverstandings', 'laptimes', 'pitstops', 'qualifying', 'races', 'results']"
1020,european_football_2,['player_attributes'],"['player', 'player_attributes']"
1021,european_football_2,['player'],['player']
1022,european_football_2,['player_attributes'],"['player', 'player_attributes']"
1023,european_football_2,['player_attributes'],"['match', 'player', 'player_attributes']"
1024,european_football_2,['player_attributes'],"['player', 'player_attributes']"
1025,european_football_2,"['league', 'match']","['league', 'match', 'team']"
1026,european_football_2,"['match', 'team']","['match', 'team']"
1027,european_football_2,"['player', 'player_attributes']","['player', 'player_attributes']"
1028,european_football_2,"['league', 'match', 'team']","['league', 'match', 'team']"
1029,european_football_2,"['team', 'team_attributes']","['team', 'team_attributes']"
1149,thrombosis_prediction,['patient'],"['examination', 'laboratory', 'patient']"
1150,thrombosis_prediction,['patient'],"['examination', 'laboratory', 'patient']"
1151,thrombosis_prediction,['patient'],"['examination', 'laboratory', 'patient']"
1152,thrombosis_prediction,['patient'],"['examination', 'patient']"
1153,thrombosis_prediction,"['laboratory', 'patient']","['examination', 'laboratory', 'patient']"
1154,thrombosis_prediction,"['examination', 'patient']","['examination', 'laboratory', 'patient']"
1155,thrombosis_prediction,"['laboratory', 'patient']","['examination', 'laboratory', 'patient']"
1156,thrombosis_prediction,"['examination', 'patient']","['examination', 'laboratory', 'patient']"
1157,thrombosis_prediction,"['examination', 'patient']","['examination', 'laboratory', 'patient']"
1158,thrombosis_prediction,"['laboratory', 'patient']","['examination', 'laboratory', 'patient']"
1312,student_club,"['major', 'member']","['attendance', 'event', 'major', 'member']"
1313,student_club,"['major', 'member']","['major', 'member']"
1314,student_club,"['major', 'member']","['major', 'member']"
1315,student_club,"['attendance', 'event']","['attendance', 'event', 'member']"
1316,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'major', 'member']"
1317,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'major', 'member']"
1318,student_club,"['attendance', 'event']","['attendance', 'event', 'member']"
1319,student_club,"['major', 'member']","['major', 'member']"
1320,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']"
1321,student_club,"['attendance', 'event', 'member']","['attendance', 'event', 'member']"
1470,debit_card_specializing,['gasstations'],"['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
1471,debit_card_specializing,['customers'],"['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
1472,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
1473,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
1474,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
1475,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
1476,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
1477,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
1478,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
1479,debit_card_specializing,"['customers', 'yearmonth']","['customers', 'gasstations', 'products', 'transactions_1k', 'yearmonth']"
